tongue papilla|tongue|0
tongue papilla|papilla of the tongue|1
tongue papilla|papilla tongue|1
papilla tongue|papilla of the tongue|1
papilla tongue|papilla tongue|1
papilla of tongue|papilla of the tongue|1
papilla of tongue|papilla tongue|1
facial nerve vii|facial nerve|1
facial nerve tree|facial nerve|1
facial nerve|facial nerve|1
seventh cranial nerve|seventh cranial nerve|1
nerve vii|nerve|0
facial nerve vii|facial|0
facial nerve tree|facial|0
facial nerve|facial|0
seventh cranial nerve|cranial nerve|0
facial nerve vii|facial nerve paralysis|0
facial nerve|facial nerve paralysis|0
facial nerve|paralysis facial nerve|0
seventh cranial nerve|tenth cranial nerve|0
seventh cranial nerve|fifth cranial nerve|0
facial nerve vii|facial nerve disorder|0
facial nerve|facial nerve disorder|0
seventh cranial nerve|eighth cranial nerve|0
seventh cranial nerve|viiith cranial nerve|0
seventh cranial nerve|sixth cranial nerve|0
seventh cranial nerve|tenth cranial nerve tumors|0
seventh cranial nerve|tumor tenth cranial nerve|0
seventh cranial nerve|tenth cranial nerve tumor|0
facial nerve vii|facial nerve ganglion|0
facial nerve|facial nerve ganglion|0
facial nerve vii|facial nerve tumors|0
facial nerve vii|facial nerve neoplasm|0
facial nerve vii|facial nerve tumor|0
facial nerve vii|facial nerve neoplasms|0
facial nerve tree|facial nerve tumors|0
facial nerve tree|facial nerve tumor|0
facial nerve|neoplasm facial nerve|0
facial nerve|tumor of facial nerve|0
facial nerve|facial nerve tumors|0
facial nerve|facial nerve neoplasm|0
facial nerve|facial nerve tumor|0
facial nerve|tumor facial nerve|0
facial nerve|facial nerve neoplasms|0
seventh cranial nerve|neoplasm seventh cranial nerve|0
seventh cranial nerve|neoplasm of seventh cranial nerve|0
seventh cranial nerve|tumor of the seventh cranial nerve|0
seventh cranial nerve|seventh cranial nerve neoplasms|0
seventh cranial nerve|neoplasm of the seventh cranial nerve|0
seventh cranial nerve|seventh cranial nerve neoplasm|0
seventh cranial nerve|seventh cranial nerve tumor|0
seventh cranial nerve|seventh cranial nerve tumors|0
seventh cranial nerve|tumor of seventh cranial nerve|0
seventh cranial nerve|tumor seventh cranial nerve|0
seventh cranial nerve|neoplasm of eleventh cranial nerve|0
seventh cranial nerve|tumor eleventh cranial nerve|0
seventh cranial nerve|eleventh cranial nerve tumor|0
seventh cranial nerve|eleventh cranial nerve neoplasm|0
seventh cranial nerve|eleventh cranial nerve tumors|0
seventh cranial nerve|eleventh cranial nerve neoplasms|0
seventh cranial nerve|neoplasm eleventh cranial nerve|0
seventh cranial nerve|tumor of eleventh cranial nerve|0
seventh cranial nerve|eleventh cranial nerve|0
seventh cranial nerve|ninth cranial nerve|0
seventh cranial nerve|fourth cranial nerve|0
facial nerve vii|facial nerve nucleus|0
facial nerve tree|facial nerve nucleus|0
facial nerve|facial nerve nucleus|0
mesoderm|mesoderm|1
mesoderm|mesodermal cell|0
mesoderm|mesoderm cell|0
ligamentum latum uteri|ligament|0
broad uterine ligament|tumor uterine ligament|0
ligamentum latum uteri|tumor uterine ligament|0
broad ligament uterus|broad ligament|1
broad uterine ligament|broad ligament|1
broad ligament of uterus|broad ligament|1
broad ligament uterus|round ligament uterus|0
broad ligament of uterus|round ligament of the uterus|0
broad uterine ligament|uterine ligament|0
cartilage organ component|cartilage|0
anterior longitudinal ligament|posterior longitudinal ligament|0
ligamentum longitudinale anterius|posterior longitudinal ligament|0
anterior longitudinal ligament|anterior longitudinal ligament|1
ligamentum longitudinale anterius|anterior longitudinal ligament|1
laryngeal subdivision|laryngeal|0
intralaminar nuclear group of thalamus|intralaminar nucleus|1
intralaminar nuclear group|intralaminar nucleus|1
intralaminar nuclei of thalamus|intralaminar nucleus|1
intralaminar thalamic nuclei|intralaminar nucleus|1
intralaminar nuclear group thalamus|intralaminar nucleus|1
intralaminar nuclei thalamus|intralaminar nucleus|1
nuclei intralaminares|intralaminar nucleus|1
inferior vesical artery|inferior thyroid artery|0
arteria vesicalis inferior|inferior vesical artery|1
arteria vesicali inferior|inferior vesical artery|1
inferior vesical artery|inferior vesical artery|1
inferior vesical artery|superior vesical artery|0
inferior vesical artery|inferior|0
inferior vesical artery|inferior suprarenal artery|0
inferior vesical artery|inferior hypophyseal artery|0
inferior vesical artery|inferior rectal artery|0
posterior femoral muscle|posterior|0
subcapsular lens epithelium|subcapsular epithelium lens|1
subcapsular lens epithelium|subcapsular epithelium of the lens|1
tear|ear|0
tear|ear|0
tear|tear|1
prostatic ducts|wall prostatic duct|0
prostatic ducts|wall of prostatic duct|0
set prostatic ducts|wall prostatic duct|0
set of prostatic ducts|wall of prostatic duct|0
prostatic ducts|prostatic duct|1
prostatic ducts|human prostatic duct|1
set prostatic ducts|prostatic duct|1
set prostatic ducts|human prostatic duct|1
set of prostatic ducts|prostatic duct|1
ductuli prostatici|prostatic duct|1
prostatic ducts set|prostatic duct|1
loose connective tissue|dense connective tissue|0
loose connective tissue|tissue disease connective|0
loose connective tissue|disease connective tissue|0
loose connective tissue|loose connective tissue|1
loose connective tissue|connective soft tissue|0
loose connective tissue|connective tissue|0
golgi network|trans golgi network|0
golgi network|cis golgi network|0
golgi network|golgi|0
immune system|immune system|1
immune system|immune system disorder|0
immune system|immune system disorders|0
immune system|immune system related disorders|0
immune system|immune system and related disorders|0
immune system|immune system finding|0
immune system|immune system part|0
capsule kidney|capsule|0
capsule of kidney|capsule|0
lymph node neck|lymph nodes|0
lymph node neck|lymph node|0
lymph node of neck|lymph nodes|0
lymph node of neck|lymph node|0
cervical lymph node|pelvic lymph node|0
lymph node neck|lymph node part|0
lymph node neck|lymph node hilum|0
lymph node neck|lymph node neoplasm|0
cervical lymph node|cervical lymph node|1
lymph node neck|head neck lymph node|0
lymph node neck|lymph node of head face and neck|0
lymph node neck|lymph nodes of head face and neck|0
lymph node neck|head and neck lymph node|0
lymph node neck|lymph nodes head face neck|0
lymph node neck|lymph node head face neck|0
lymph node of neck|head neck lymph node|0
lymph node of neck|lymph node of head face and neck|0
lymph node of neck|lymph nodes of head face and neck|0
lymph node of neck|lymph nodes head face neck|0
lymph node of neck|lymph node head face neck|0
coccygeal nerve|coccygeal nerve|1
coccygeal spinal nerve|coccygeal nerve|1
coccygeal spinal nerve|spinal nerve|0
ventricle heart|ventricle|0
ventricle heart|ventricles|0
ventricle of heart|ventricle|0
ventricle of heart|ventricle of brain|0
ventricle of heart|ventricles|0
cardiac ventricle|cardiac|0
cardiac ventricle|cardiac muscle|0
cardiac ventricle|cardiac|0
ventricle heart|auricle heart|0
cardiac ventricle|cardiac atrium|0
cardiac ventricle|cardiac atria|0
ventricle of heart|auricle of heart|0
ventricle heart|ventricles heart|1
ventricle heart|ventricle|1
ventricle heart|heart ventricle|1
cardiac ventricle|cardiac ventricle|1
cardiac ventricle|cardiac ventricles|1
ventricle of heart|ventricles heart|1
ventricle of heart|ventricle|1
ventricle of heart|heart ventricle|1
cardiac ventricle|cardia|0
cardiac ventricle|cardiac muscle|0
cardiac ventricle|cardiac vein|0
troponin i|troponin t|0
troponin i|troponin i|1
pulmonary artery|pulmonary artery hemangiosarcoma|0
pulmonary artery|pulmonary artery angiosarcoma|0
pulmonary artery|pulmonary artery branch|0
pulmonary artery|pulmonary artery syncytioma|0
pulmonary artery|syncytioma pulmonary artery|0
pulmonary artery|pulmonary artery choriocarcinoma|0
pulmonary artery|pulmonary artery chorioepithelioma|0
pulmonary artery|right pulmonary artery|0
pulmonary artery|left pulmonary artery|0
pulmonary artery|coronary artery|0
pulmonary artery|pulmonary|0
pulmonary arterial tree|pulmonary|0
pulmonary artery|pulmonary artery|1
pulmonary arterial tree organ part|pulmonary artery|1
pulmonary arterial tree|pulmonary artery|1
posterior tibial arterial subdivision|posterior tibial artery|0
subdivision posterior tibial artery|posterior tibial artery|0
subdivision of posterior tibial artery|posterior tibial artery|0
syncytiotrophoblast cell|cytotrophoblast|0
syncytiotrophoblastic cell|cytotrophoblast|0
syncytiotrophoblast cell|malignant syncytiotrophoblastic giant cell|0
syncytiotrophoblastic cell|malignant syncytiotrophoblastic giant cell|0
syncytiotrophoblast cell|abnormal syncytiotrophoblastic cell|0
syncytiotrophoblastic cell|abnormal syncytiotrophoblastic cell|0
syncytiotrophoblast cell|syncytiotrophoblast|0
syncytiotrophoblastic cell|syncytiotrophoblast|0
syncytiotrophoblast cell|neoplastic syncytiotrophoblastic cell|0
syncytiotrophoblastic cell|neoplastic syncytiotrophoblastic cell|0
syncytiotrophoblast cell|abnormal cytotrophoblastic cell|0
syncytiotrophoblastic cell|abnormal cytotrophoblastic cell|0
syncytiotrophoblast cell|syncytiotrophoblastic cell|1
syncytiotrophoblastic cell|syncytiotrophoblastic cell|1
syncytiotrophoblast cell|trophoblastic cell|0
syncytiotrophoblastic cell|trophoblastic cell|0
pituitary alpha cell|pituitary|0
chief cell of stomach|chief cell of the stomach|1
chief cell of stomach|chief cell stomach|1
chief cell of stomach|chief cell|1
chief cell of stomach|chief cell (stomach)|1
chief cell stomach|chief cell of the stomach|1
chief cell stomach|chief cell stomach|1
chief cell stomach|chief cell|1
chief cell stomach|chief cell (stomach)|1
gastric chief cell|chief cells gastric|1
gastric chief cell|chief cell|1
chief cell of stomach|chief cell|0
chief cell of stomach|chief cells|0
chief cell stomach|chief cell|0
chief cell stomach|chief cells|0
gastric chief cell|chief cell|0
gastric chief cell|gastric|0
gastric chief cell|gastric|0
gastric zymogenic cell|gastrin cell|0
gastric chief cell|gastrin cells|0
gastric chief cell|gastrin cell|0
peptic cell|c cell|0
chordae tendineae of heart|chordae tendineae|1
chordae tendineae heart|chordae tendineae|1
set chordae tendineae heart|chordae tendineae|1
chordae tendineae cordis|chordae tendineae|1
axial|axial skeleton|0
axial|axial|1
troponin t|troponin t|1
troponin t|troponin i|0
upper lobe of lung|upper lobe left lung|0
upper lobe of lung|upper lobe of the left lung lul|0
upper lobe of lung|upper lobe of left lung lul|0
upper lobe of lung|upper lobe of the left lung|0
upper lobe of lung|upper lobe left lung lul|0
upper lobe lung|upper lobe left lung|0
upper lobe lung|upper lobe of the left lung lul|0
upper lobe lung|upper lobe of left lung lul|0
upper lobe lung|lung left upper lobe|0
upper lobe lung|upper lobe of the left lung|0
upper lobe lung|upper lobe left lung lul|0
upper lobe lung|lower lobe lung|0
upper lobe lung|lung lobe|0
upper lobe of lung|lung upper lobe|1
upper lobe of lung|upper lobe of the lung|1
upper lobe of lung|upper lobe lung|1
upper lobe lung|lung upper lobe|1
upper lobe lung|upper lobe of the lung|1
upper lobe lung|upper lobe lung|1
lobus superior|superior|0
superior lobe lung|superior|0
superior lobe of lung|superior|0
superior lobe lung|upper lobe right lung|0
upper lobe of lung|upper lobe of the right lung|0
upper lobe of lung|upper lobe of the right lung rul|0
upper lobe of lung|upper lobe right lung|0
upper lobe of lung|upper lobe of right lung rul|0
upper lobe of lung|upper lobe right lung rul|0
upper lobe lung|upper lobe of the right lung|0
upper lobe lung|upper lobe of the right lung rul|0
upper lobe lung|lung right upper lobe|0
upper lobe lung|upper lobe right lung|0
upper lobe lung|upper lobe of right lung rul|0
upper lobe lung|upper lobe right lung rul|0
calcium binding protein|binding protein|0
calcium binding protein|calcium binding domain|0
calcium binding protein|calcium binding motif|0
calcium binding protein|calcium binding|0
calcium binding protein|calcium binding protein|1
systema urinaria|urinary system|1
systema urinarium|urinary system|1
urinary system|urinary|1
urinary system|urinary system|1
systema urinaria|urinary system|0
systema urinarium|urinary system|0
urinary system|urinary system (mmhcc)|0
urinary system|urinary system mmhcc|0
urinary system|urinary system|0
urinary system|urinary system bladder|0
urinary system|urinary system urine|0
urinary system|urinary system kidney|0
urinary system|urinary system part|0
posterior wall of urinary bladder|posterior wall of oropharynx|0
posterior wall urinary bladder|posterior wall pharynx|0
posterior wall of urinary bladder|posterior wall of the bladder|1
posterior wall of urinary bladder|posterior wall bladder|1
posterior wall of urinary bladder|posterior wall of bladder|1
posterior wall urinary bladder|posterior wall of the bladder|1
posterior wall urinary bladder|posterior wall bladder|1
posterior wall urinary bladder|posterior wall of bladder|1
posterior wall of urinary bladder|anterior wall of bladder|0
joints|joint|1
joints|joints|1
set joints|joints|1
joints set|joint|1
joints set|joints|1
ecto epithelial cell|olfactory epithelial cells|0
ecto epithelial cell|olfactory epithelial cell|0
ecto epithelial cell|epithelial cells|0
ecto epithelial cell|epithelial cell|0
ecto epithelial cell|myoepithelial cell|0
articulatio sacrococcygea|articulation|0
articulatio sacrococcygea|articulation|0
sacrococcygeal joint|sacrococcygeal joint|1
fungiform papillae|filiform papilla|0
fungiform papillae set|fungiform papilla|1
papillae fungiformes|fungiform papilla|1
fungiform papillae|fungiform papilla|1
set fungiform papillae|fungiform papilla|1
set of fungiform papillae|fungiform papilla|1
ureter|left ureter|0
ureter|ureter|1
urethral glands|bulbourethral gland|0
urethral glands|paraurethral gland|0
urethral glands|urethra gland|1
urethral glands|urethra gland mmhcc|1
urethral glands|urethral gland|1
urethral glands|urethra gland (mmhcc)|1
glandulae urethrales|urethral gland|1
urethral glands set|urethra gland|1
urethral glands set|urethral gland|1
set of urethral glands|urethra gland|1
set of urethral glands|urethral gland|1
set urethral glands|urethra gland|1
set urethral glands|urethral gland|1
glands littre|gland|0
urethral glands|urethra|0
urethral glands set|urethra|0
urethral glands|urethra|0
urethral glands set|urethra|0
urethral glands|urethral gland|1
glands of littre|gland of littre|1
glands of littre|gland littre|1
glandulae urethrales|urethral gland|1
urethral glands set|urethral gland|1
glands littre|gland of littre|1
glands littre|gland littre|1
set of urethral glands|urethral gland|1
set urethral glands|urethral gland|1
ameloblast|myeloblast|0
ameloblast|ameloblast|1
ameloblast|ameloblasts|1
stapes|stapedius|0
stapes|stapes|1
region hair follicle|hair follicles|0
region hair follicle|hair follicle|0
region of hair follicle|hair follicle|0
hair follicle region|hair follicles|0
hair follicle region|hair follicle|0
pulmonary artery|pulmonary artery hemangiosarcoma|0
pulmonary artery|pulmonary artery angiosarcoma|0
pulmonary artery|pulmonary artery branch|0
pulmonary artery (trunk)|pulmonary artery branch|0
pulmonary artery|pulmonary artery syncytioma|0
pulmonary artery|syncytioma pulmonary artery|0
pulmonary artery|pulmonary artery choriocarcinoma|0
pulmonary artery|pulmonary artery chorioepithelioma|0
pulmonary artery|right pulmonary artery|0
pulmonary artery|left pulmonary artery|0
pulmonary artery|coronary artery|0
pulmonary trunk|pulmonary|0
pulmonary artery|pulmonary|0
pulmonary artery (trunk)|pulmonary|0
pulmonary trunk|pulmonary trunk|1
pulmonary artery|pulmonary artery|1
pulmonary artery (trunk)|pulmonary trunk|1
pulmonary artery (trunk)|pulmonary artery|1
shoulder|shoulder girdle|0
shoulder|shoulder|1
shoulder|shoulder joint|0
shoulder|shoulder blade|0
subdivision vertebral column|vertebral column|0
vertebral column subdivision|vertebral column|0
iliolumbar vein|iliolumbar vein|1
iliolumbar vein|ilio lumbar vein|1
umbilical part abdomen|umbilical artery|0
umbilical region|umbilical region|1
