nose|nose|1
eye posterior chamber|anterior chamber (eye)|0
eye posterior chamber|anterior chamber of eye|0
eye posterior chamber|anterior chamber|0
eye posterior chamber|posterior chamber of eye|1
eye posterior chamber|posterior chamber|1
eye posterior chamber|posterior chamber of the eye|1
eye posterior chamber|posterior chamber (eye)|1
sclera|sclera proper|0
sclera|sclera|1
sclera|episclera|0
spinal cord meninges|spinal cord|0
spinal cord meninges|spinal meninges|1
vitreous chamber|vitreous chamber|1
spinal cord arachnoid mater|spinal cord pia mater|0
spinal cord arachnoid mater|spinal cord|0
spinal cord arachnoid mater|spinal cord dura mater|0
spinal cord arachnoid mater|spinal cord arachnoid membrane|1
spinal cord arachnoid mater|spinal cord tracts|0
spinal cord arachnoid mater|spinal cord tract|0
vitreous body|vitreous body|1
spinal cord dura mater|spinal cord pia mater|0
spinal cord dura mater|spinal cord|0
spinal cord dura mater|spinal cord dura mater|1
nasal septum|nasal septum|1
nasal cavity|oral cavity|0
nasal cavity|nasal cavity|1
nasal cavity|nasal cavity paranasal sinuses|0
nasal cavity|nasal cavity paranasal|0
nasal cavity|nasal cavity respiratory epithelium|0
nasal cavity|nasal cavity epithelium|0
lobule of auricle|lobule of the auricle|1
ear lobule|lobule|0
lobule of pinna|lobule|0
lobule of auricle|lobule|0
olfactory receptor nerve|olfactory nerve|0
olfactory receptor nerve|olfactory receptor neuron|0
olfactory receptor nerve|olfactory receptor neurons|0
olfactory receptor nerve|olfactory chemoreceptor|0
parasympathetic ganglion|parasympathetic ganglion|1
parasympathetic ganglion|sympathetic ganglion|0
parasympathetic ganglion|parasympathetic fibers postganglionic|0
parasympathetic ganglion|postganglionic parasympathetic fiber|0
cardiac nerve plexus|cardiac nerve plexus|1
cardiac nerve plexus|nerve plexus|0
coeliac nerve plexus|cardiac nerve plexus|0
celiac nerve plexus|cardiac nerve plexus|0
coeliac nerve plexus|nerve plexus|0
celiac nerve plexus|nerve plexus|0
nasal turbinate|nasal turbinate|1
spinal cord pia mater|spinal cord pia mater|1
spinal cord pia mater|spinal cord|0
spinal cord pia mater|spinal cord dura mater|0
spinal cord pia mater|spinal cord part|0
labium|labium|1
labium|labium majus|0
labium|labium minus|0
spinal cord ventral horn|spinal cord|0
spinal cord ventral horn|spinal cord tracts|0
spinal cord ventral horn|spinal cord tract|0
spinal cord ventral horn|ventral horn of the spinal cord|1
vaginal hymen|vagina|0
white matter|white matter|1
white matter|white matter of the spinal cord|0
white matter|brain white matter|0
white matter|cerebral white matter|0
perineum|perineurium|0
perineum|perineum|1
perineum|periosteum|0
perineum|peritoneum|0
ciliary ganglion|celiac ganglion|0
periodontal membrane|periodontal membrane|1
periodontium|periodontium|1
periodontal ligament|periodontal ligament|1
hypogastric nerve plexus|hypogastric nerve plexus|1
hypogastric nerve plexus|inferior hypogastric nerve plexus|0
inferior hypogastric nerve plexus|hypogastric nerve plexus|0
inferior hypogastric nerve plexus|inferior hypogastric nerve plexus|1
appendicular skeleton|appendicular skeleton|1
superior hypogastric nerve plexus|hypogastric nerve plexus|0
superior hypogastric nerve plexus|inferior hypogastric nerve plexus|0
face|face|1
face|facet joint|0
pulmonary nerve plexus|nerve plexus|0
mouth|mouth|0
carpal bone|metacarpal bones|0
carpal bone|metacarpal bone|0
carpal bone|carpal bone|1
carpal bone|carpus bone|1
carpal tarsal bone|tarsal bone|0
carpal tarsal bone|carpal bone|0
pelvic girdle bone|pelvic girdle|0
pelvic girdle bone|pelvic bone|0
submandibular ganglion|submandibular ganglion|1
submandibular ganglion|submandibular duct|0
submandibular ganglion|submandibular gland|0
myenteric nerve plexus|myenteric nerve plexus|1
myenteric nerve plexus|nerve plexus|0
minor salivary gland|salivary gland|0
minor salivary gland|salivary glands|0
minor salivary gland|major salivary gland|0
minor salivary gland|minor salivary gland|1
forelimb long bone|forelimb|0
submucous nerve plexus|submucous nerve plexus|1
submucous nerve plexus|nerve plexus|0
limb long bone|long bone|1
tarsal bone|metatarsal bones|0
tarsal bone|metatarsal bone|0
tarsal bone|tarsal bone|1
tarsal bone|tarsal bones|1
tarsal bone|tarsus bone|1
synonym|synonym|0
synonym|synonym type|0
