prosthesis procedures large intestine|prosthesis procedureslarge intestine|1
fluoroscopyskull|fluoroscopy skull|1
5 hydroperoxy 681114 eicosatetraenoic acid|5-hydroperoxy-681114-eicosatetraenoic acid|1
inguinal herniorrhaphy unilateral|inguinal herniorrhaphyunilateral|1
filingaction|filing action|1
slitting action|slittingaction|1
subfamily colubrinaenon venomous|subfamily colubrinae non venomous|1
on examination auricle of ear tophi|on examinationauricle of eartophi|1
family kyphosidaesea chub|family kyphosidae sea chub|1
on examination paraplegia|on examinationparaplegia|1
history of infertility male|history ofinfertilitymale|1
history ofgastric ulcer|history of gastric ulcer|1
on examinationvisible abdominal peristalsis|on examination visible abdominal peristalsis|1
d transposition of the great vessels|dtransposition of the great vessels|1
history of gallstones|history ofgallstones|1
family loganiaceaelogania|family loganiaceae logania|1
on examination blood pressure reading low|on examinationblood pressure reading low|1
testing action|testingaction|1
electrical dischargeaction|electrical discharge action|1
incision attribute|incisionattribute|1
history ofulcerative colitis|history of ulcerative colitis|1
on examinationpenis|on examination penis|1
on examinationnasal polyp present|on examination nasal polyp present|1
on examinationascites|on examination ascites|1
on examinationcentral scotoma|on examination central scotoma|1
ruptured achilles tendon traumatic|ruptured achilles tendontraumatic|1
gingi derm|gingi-derm|1
history ofcerebrovascular disease|history of cerebrovascular disease|1
history of gynecological disorder|history ofgynecological disorder|1
malignant neoplasm of carpal bone trapezoid|malignant neoplasm of carpal bonetrapezoid|1
take impression action|take impressionaction|1
family congridae conger eel|family congridaeconger eel|1
on examinationaxillary lymphadenopathy|on examination axillary lymphadenopathy|1
on examinationendocrine nutrition or metabolic|on examination endocrine nutrition or metabolic|1
family stromateidae butterfish|family stromateidaebutterfish|1
on examinationfixed dilated pupils|on examination fixed dilated pupils|1
on examinationvocal resonance|on examination vocal resonance|1
auscultation action|auscultationaction|1
4 chlorotoluene|4-chlorotoluene|1
elbow joint tender|elbow jointtender|1
history ofpneumococcal vaccine allergy|history of pneumococcal vaccine allergy|1
history of malaria|history ofmalaria|1
on examinationfacial hair|on examination facial hair|1
injection therapy of lesionlarge intestine|injection therapy of lesion large intestine|1
family salmonidaetrout|family salmonidae trout|1
on examination peau d orange|on examinationpeau d orange|1
3 hydroxyisovaleric acid|3-hydroxyisovaleric acid|1
on examination edema of arms|on examinationedema of arms|1
on examination ankle reflex diminished|on examinationankle reflex diminished|1
history of diabetes mellitus|history ofdiabetes mellitus|1
malignant neoplasm of carpal bonecapitate|malignant neoplasm of carpal bone capitate|1
on examinationtympanic membrane pink|on examination tympanic membrane pink|1
pathological fracturepelvis and or thigh|pathological fracture pelvis and or thigh|1
on examination lung consolidation|on examinationlung consolidation|1
obliteration action|obliterationaction|1
on examinationplantar response|on examination plantar response|1
on examinationdigestive system|on examination digestive system|1
cabbage dietary|cabbagedietary|1
on examinationgallbladder not palpable|on examination gallbladder not palpable|1
history ofsulfonamide allergy|history of sulfonamide allergy|1
on examinationfetal movements felt|on examination fetal movements felt|1
history ofduodenal ulcer|history of duodenal ulcer|1
on examination kyphoscoliotic chest def|on examinationkyphoscoliotic chest def|1
history of skin donation|history ofskin donation|1
on examination paralysis|on examinationparalysis|1
fracture malunion hand|fracture malunionhand|1
on examinationgenitalia|on examination genitalia|1
gastrointestinal tract anastomosis esophagus stomach and duodenum|gastrointestinal tract anastomosisesophagus stomach and duodenum|1
history ofcerebrovascular accident|history of cerebrovascular accident|1
inlay replacement action|inlay replacementaction|1
fervac d|fervac-d|1
on examinationquadriplegia|on examination quadriplegia|1
other pelvic painfemale|other pelvic pain female|1
on examination gallstone|on examinationgallstone|1
aphakialens capsule present|aphakia lens capsule present|1
setter operatorwoodwork|setter operator woodwork|1
pancreas grafttail of pancreas|pancreas graft tail of pancreas|1
history ofperinatal problem|history of perinatal problem|1
pancreas graft material|pancreas graftmaterial|1
cine imagingaction|cine imaging action|1
history ofhysterectomy|history of hysterectomy|1
history ofventricular fibrillation|history of ventricular fibrillation|1
inspectionaction|inspection action|1
fluoroscopy intestine large|fluoroscopyintestine large|1
contouringaction|contouring action|1
reovac-a|reovac a|1
toe jointhot|toe joint hot|1
on examination opening snap heard|on examinationopening snap heard|1
history of congenital anomaly|history ofcongenital anomaly|1
on examinationcardiac murmur|on examination cardiac murmur|1
on examination winged scapula|on examinationwinged scapula|1
history of drug dependency|history ofdrug dependency|1
a*0210|a 0210|1
a*0211|a 0211|1
a*0212|a 0212|1
a*0203|a 0203|1
a*0204|a 0204|1
a 0205|a*0205|1
a 0206|a*0206|1
a 0207|a*0207|1
a 0208|a*0208|1
a 0209|a*0209|1
a*0201|a 0201|1
a*0202|a 0202|1
4-hydroxyphenylacetate measurement|4 hydroxyphenylacetate measurement|1
family argentinidae argentine|family argentinidaeargentine|1
fixation action|fixationaction|1
history ofgastrointestinal tract anastomosis|history of gastrointestinal tract anastomosis|1
a*0101|a 0101|1
on examinationanemia|on examination anemia|1
debulking action|debulkingaction|1
lung graftmaterial|lung graft material|1
extractionaction|extraction action|1
history of neomycin allergy|history ofneomycin allergy|1
on examinationnasal mucosa|on examination nasal mucosa|1
